compute004
5
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
Box(1, 60, 50)
Box(1, 60, 50)
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/gym/envs/registration.py:14: PkgResourcesDeprecationWarning: Parameters to load are deprecated.  Call .resolve and .require separately.
  result = entry_point.load(False)
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
Box(1, 60, 50)
Worker ID: 0 | Episode :226 | Average episode reward : 210.000 | Average episode length: 648.0
Worker ID: 0 | Episode :227 | Average episode reward : 130.000 | Average episode length: 583.0
Worker ID: 0 | Episode :228 | Average episode reward : 570.000 | Average episode length: 763.0
Worker ID: 0 | Episode :229 | Average episode reward : 160.000 | Average episode length: 790.0
Worker ID: 0 | Episode :230 | Average episode reward : 70.000 | Average episode length: 473.0
Worker ID: 0 | Episode :231 | Average episode reward : 270.000 | Average episode length: 570.0
Worker ID: 0 | Episode :232 | Average episode reward : 110.000 | Average episode length: 517.0
Worker ID: 0 | Episode :233 | Average episode reward : 310.000 | Average episode length: 794.0
Worker ID: 0 | Episode :234 | Average episode reward : 500.000 | Average episode length: 945.0
Worker ID: 0 | Episode :235 | Average episode reward : 510.000 | Average episode length: 929.0
Worker ID: 0 | Episode :236 | Average episode reward : 100.000 | Average episode length: 519.0
Worker ID: 0 | Episode :237 | Average episode reward : 550.000 | Average episode length: 718.0
Worker ID: 0 | Episode :238 | Average episode reward : 250.000 | Average episode length: 619.0
Worker ID: 0 | Episode :239 | Average episode reward : 340.000 | Average episode length: 668.0
Worker ID: 0 | Episode :240 | Average episode reward : 210.000 | Average episode length: 437.0
Worker ID: 0 | Episode :241 | Average episode reward : 910.000 | Average episode length: 927.0
Worker ID: 0 | Episode :242 | Average episode reward : 450.000 | Average episode length: 786.0
Worker ID: 0 | Episode :243 | Average episode reward : 160.000 | Average episode length: 730.0
Worker ID: 0 | Episode :244 | Average episode reward : 280.000 | Average episode length: 840.0
Worker ID: 0 | Episode :245 | Average episode reward : 340.000 | Average episode length: 731.0
Worker ID: 0 | Episode :246 | Average episode reward : 210.000 | Average episode length: 582.0
Worker ID: 0 | Episode :247 | Average episode reward : 440.000 | Average episode length: 737.0
Worker ID: 0 | Episode :248 | Average episode reward : 320.000 | Average episode length: 718.0
