compute005
0
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
(1, 60, 50) 3
Box(1, 60, 50)
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/gym/envs/registration.py:14: PkgResourcesDeprecationWarning: Parameters to load are deprecated.  Call .resolve and .require separately.
  result = entry_point.load(False)
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
Worker ID: 0 | Episode :232 | Average episode reward : 0.000 | Episode length: 2739.0
Worker ID: 0 | Episode :233 | Average episode reward : 0.000 | Episode length: 2716.0
Worker ID: 0 | Episode :234 | Average episode reward : 0.000 | Episode length: 2720.0
Worker ID: 0 | Episode :235 | Average episode reward : 0.000 | Episode length: 2720.0
Worker ID: 0 | Episode :236 | Average episode reward : 0.000 | Episode length: 2761.0
Worker ID: 0 | Episode :237 | Average episode reward : 0.000 | Episode length: 2712.0
Worker ID: 0 | Episode :238 | Average episode reward : 0.000 | Episode length: 2751.0
Worker ID: 0 | Episode :239 | Average episode reward : 0.000 | Episode length: 2745.0
Worker ID: 0 | Episode :240 | Average episode reward : 0.000 | Episode length: 2719.0
Worker ID: 0 | Episode :241 | Average episode reward : 0.000 | Episode length: 2726.0
Worker ID: 0 | Episode :242 | Average episode reward : 0.000 | Episode length: 2723.0
Worker ID: 0 | Episode :243 | Average episode reward : 0.000 | Episode length: 2710.0
Worker ID: 0 | Episode :244 | Average episode reward : 0.000 | Episode length: 2713.0
Worker ID: 0 | Episode :245 | Average episode reward : 0.000 | Episode length: 2742.0
Worker ID: 0 | Episode :246 | Average episode reward : 0.000 | Episode length: 2740.0
Worker ID: 0 | Episode :247 | Average episode reward : 0.000 | Episode length: 2732.0
Worker ID: 0 | Episode :248 | Average episode reward : 0.000 | Episode length: 2714.0
Worker ID: 0 | Episode :249 | Average episode reward : 0.000 | Episode length: 2722.0
Worker ID: 0 | Episode :250 | Average episode reward : 0.000 | Episode length: 2731.0
Worker ID: 0 | Episode :251 | Average episode reward : 0.000 | Episode length: 2753.0
Worker ID: 0 | Episode :252 | Average episode reward : 0.000 | Episode length: 2732.0
Worker ID: 0 | Episode :253 | Average episode reward : 0.000 | Episode length: 2727.0
Worker ID: 0 | Episode :254 | Average episode reward : 0.000 | Episode length: 2734.0
Worker ID: 0 | Episode :255 | Average episode reward : 0.000 | Episode length: 2741.0
Worker ID: 0 | Episode :256 | Average episode reward : 0.000 | Episode length: 2762.0
Worker ID: 0 | Episode :257 | Average episode reward : 0.000 | Episode length: 2761.0
Worker ID: 0 | Episode :258 | Average episode reward : 0.000 | Episode length: 2741.0
Worker ID: 0 | Episode :259 | Average episode reward : 0.000 | Episode length: 2717.0
Worker ID: 0 | Episode :260 | Average episode reward : 0.000 | Episode length: 2745.0
Worker ID: 0 | Episode :261 | Average episode reward : 0.000 | Episode length: 2763.0
Worker ID: 0 | Episode :262 | Average episode reward : 0.000 | Episode length: 2727.0
Worker ID: 0 | Episode :263 | Average episode reward : 0.000 | Episode length: 2727.0
Worker ID: 0 | Episode :264 | Average episode reward : 0.000 | Episode length: 2736.0
Worker ID: 0 | Episode :265 | Average episode reward : 0.000 | Episode length: 2739.0
Worker ID: 0 | Episode :266 | Average episode reward : 0.000 | Episode length: 2725.0
Worker ID: 0 | Episode :267 | Average episode reward : 0.000 | Episode length: 2744.0
Worker ID: 0 | Episode :268 | Average episode reward : 0.000 | Episode length: 2754.0
Worker ID: 0 | Episode :269 | Average episode reward : 0.000 | Episode length: 2727.0
Worker ID: 0 | Episode :270 | Average episode reward : 0.000 | Episode length: 2735.0
Worker ID: 0 | Episode :271 | Average episode reward : 0.000 | Episode length: 2725.0
Worker ID: 0 | Episode :272 | Average episode reward : 0.000 | Episode length: 2747.0
Worker ID: 0 | Episode :273 | Average episode reward : 0.000 | Episode length: 2712.0
Worker ID: 0 | Episode :274 | Average episode reward : 0.000 | Episode length: 2761.0
Worker ID: 0 | Episode :275 | Average episode reward : 0.000 | Episode length: 2727.0
Worker ID: 0 | Episode :276 | Average episode reward : 0.000 | Episode length: 2723.0
Worker ID: 0 | Episode :277 | Average episode reward : 0.000 | Episode length: 2712.0
Worker ID: 0 | Episode :278 | Average episode reward : 0.000 | Episode length: 2721.0
Worker ID: 0 | Episode :279 | Average episode reward : 0.000 | Episode length: 2726.0
Worker ID: 0 | Episode :280 | Average episode reward : 0.000 | Episode length: 2768.0
Worker ID: 0 | Episode :281 | Average episode reward : 0.000 | Episode length: 2742.0
Worker ID: 0 | Episode :282 | Average episode reward : 0.000 | Episode length: 2724.0
Worker ID: 0 | Episode :283 | Average episode reward : 0.000 | Episode length: 2724.0
